"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4.5,0,0,0,1,0,1,0,0,1,0,1.11654447066651,-0.235157325004494,-0.708533549793646
5,0,0,1,1,1,0,0,0,1,0,0.248061852034599,0.416393225167193,-0.708533549793646
4.5,0,0,0,1,1,0,0,0,1,0,0.550798018959235,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.664972111886422,1.06794377533888,1.43378764687659
4.5,0,0,0,1,1,0,0,0,1,0,-0.62366653825837,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,1.05570757869446,1.06794377533888,1.66931794810439
4.5,1,0,0,1,1,0,0,0,1,1,1.15288350084176,1.06794377533888,1.72789434098322
4,0,0,0,1,0,0,1,0,1,0,0.75947034578723,-0.235157325004494,-0.708533549793646
4.5,1,0,1,1,1,0,0,0,1,0,0.736085203236274,1.06794377533888,1.47665370140627
5,0,0,0,1,1,0,0,0,1,1,-0.514528535686703,0.416393225167193,-0.708533549793646
4,0,0,0,1,1,0,0,0,0,0,0.59644287468547,-0.886707875176182,-0.708533549793646
3.5,0,0,0,0,1,1,0,0,0,0,0.468962711773566,-0.886707875176182,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,0.169194233332897,0.416393225167193,1.13493913427112
4.5,0,0,0,1,1,0,0,0,0,1,-0.697884271194191,-0.235157325004494,-0.708533549793646
