"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4.5,1,0,0,1,1,0,0,0,1,0,5.51342874616498,4,5.51342874616498
5,0,0,0,1,1,0,0,0,0,0,4.49980967033027,2,0
4.5,1,0,0,1,1,0,0,0,1,0,8.11671562481911,4,8.11671562481911
5,1,0,1,1,1,0,0,0,1,0,5.80211837537706,5,5.80211837537706
4.5,1,0,0,1,1,0,0,0,1,1,6.14203740558736,5,6.14203740558736
4.5,0,0,0,1,1,0,0,0,1,1,7.00033446027523,4,0
4,1,0,0,1,1,0,0,0,0,0,6.77536609093639,3,6.77536609093639
4,0,0,1,1,1,0,0,0,0,0,5.85507192220243,3,0
4.5,1,0,0,1,1,0,0,0,1,0,6.28599809450886,4,6.28599809450886
4.5,0,0,0,1,1,0,0,0,1,1,7.80751004221619,4,0
4.5,1,0,0,1,1,0,0,0,1,0,6.82762923450285,4,6.82762923450285
4,0,0,0,0,1,1,0,0,1,0,8.30226579487337,3,0
4.5,1,0,1,1,1,0,0,0,1,1,6.03068526026126,6,6.03068526026126
4.5,0,0,0,1,1,0,0,0,1,1,4.70953020131233,4,0
4,0,0,0,0,1,1,0,0,0,0,7.36201055125973,2,0
4.5,1,0,0,0,1,1,0,0,1,0,7.44833386089748,4,7.44833386089748
3.5,0,0,0,1,1,0,0,0,0,0,5.18738580584075,2,0
4.5,0,0,0,1,1,0,0,0,1,0,7.12205988162914,3,0
5,0,0,0,1,1,0,0,0,1,0,5.35658627467201,3,0
4,0,0,0,1,0,1,0,0,0,0,7.22548147278229,2,0
3,0,0,0,1,1,0,0,0,0,0,4.18965474202643,2,0
3.5,0,0,1,1,0,1,0,0,0,0,5.48063892334199,3,0
4.5,0,0,0,1,1,0,0,0,1,0,6.57646956904822,3,0
4.5,0,1,0,0,1,1,1,1,1,0,7.97349996402463,6,0
3,0,0,0,1,0,1,0,0,0,0,4.17438726989564,2,0
3.5,0,0,0,1,0,0,1,0,0,0,3.73766961828337,2,0
3.5,0,0,0,1,0,1,0,0,1,0,6.0282785202307,3,0
2.5,0,0,0,0,1,0,1,0,0,0,4.66343909411207,2,0
2.5,0,0,0,1,0,1,0,0,0,0,4.21950770517611,2,0
4,0,1,0,1,0,0,1,1,1,0,7.31721240835984,5,0
4,0,0,0,0,1,1,0,0,1,0,7.40306109109009,3,0
4.5,1,0,0,1,1,0,0,0,1,1,7.78113850984502,5,7.78113850984502
5,1,0,0,1,1,0,0,0,1,1,4.70953020131233,5,4.70953020131233
4.5,0,0,1,1,1,0,0,0,1,1,5.8805329864007,5,0
4.5,0,0,0,1,1,0,0,0,1,0,6.4707995037826,3,0
4.5,0,0,0,1,0,1,0,0,1,1,4.83628190695148,4,0
4.5,1,0,0,1,1,0,0,0,1,0,5.79909265446053,4,5.79909265446053
4.5,1,0,0,1,1,0,0,0,1,1,7.06561336359772,5,7.06561336359772
4,0,0,0,1,1,0,0,0,1,0,5.8111409929767,3,0
4.5,0,0,0,0,1,1,0,0,1,0,7.78821155784708,3,0
4,1,0,0,1,1,0,0,0,0,0,7.04490511712937,3,7.04490511712937
4,0,0,0,1,0,0,1,0,1,0,6.07993319509559,3,0
4.5,0,0,0,1,1,0,0,0,0,0,3.09104245335832,2,0
4.5,1,0,0,1,1,0,0,0,1,0,7.54274354536855,4,7.54274354536855
3,0,0,0,0,0,0,1,1,1,0,5.28826703069454,3,0
3.5,0,0,1,0,1,1,0,0,1,0,6.38519439899773,4,0
5,1,1,0,1,1,1,0,1,1,0,4.70953020131233,7,4.70953020131233
4,0,0,0,0,0,0,0,0,0,0,0.681130073390408,0,0
3,0,0,0,1,0,0,1,0,0,0,4.72738781871234,2,0
4,0,0,0,1,0,0,1,0,0,0,3.04452243772342,2,0
4,0,0,0,1,1,0,0,0,1,0,6.05208916892442,3,0
4.5,0,0,0,1,1,0,0,0,0,1,2.484906649788,3,0
3.5,0,0,0,1,1,0,0,0,1,0,1.79175946922805,3,0
2.5,0,0,0,0,0,1,1,0,0,0,4.70048036579242,2,0
5,1,0,0,1,1,0,0,0,1,0,6.16120732169508,4,6.16120732169508
